OriginalName,CleanedName,Family,Class,Phylum,Kingdom,LookupStatus,TrophicLevel
Acartia longiremis,Acartia longiremis,Acartiidae,Copepoda,Arthropoda,Animalia,exact_match,Planktivores
Acrochaetium moniliforme,Acrochaetium moniliforme,Acrochaetiaceae,Florideophyceae,Rhodophyta,Plantae,exact_match,Primary producers
Acrochaetium plumosum,Acrochaetium plumosum,Acrochaetiaceae,Florideophyceae,Rhodophyta,Plantae,exact_match,Primary producers
Aequorea,Aequorea,Aequoreidae,Hydrozoa,Cnidaria,Animalia,exact_match,Gelatinous zooplankton
Aglaophenia latirostris,Aglaophenia latirostris,Aglaopheniidae,Hydrozoa,Cnidaria,Animalia,exact_match,Gelatinous zooplankton
Alcyonidium,Alcyonidium,Alcyonidiidae,Gymnolaemata,Bryozoa,Animalia,exact_match,Filter feeders
Alitta,Alitta,Nereididae,Polychaeta,Annelida,Animalia,exact_match,Benthic invertebrates
Amathia gracilis,Amathia gracilis,Vesiculariidae,Gymnolaemata,Bryozoa,Animalia,exact_match,Filter feeders
Amonardia perturbata,Amonardia perturbata,Miraciidae,Copepoda,Arthropoda,Animalia,exact_match,Planktivores
Amphinema dinema,Amphinema dinema,Pandeidae,Hydrozoa,Cnidaria,Animalia,exact_match,Gelatinous zooplankton
Ansanella granifera,Ansanella granifera,Suessiaceae,Dinophyceae,Myzozoa,Chromista,exact_match,Primary producers
Aoroides,Aoroides,Aoridae,Malacostraca,Arthropoda,Animalia,exact_match,Benthic crustaceans
Aoroides intermedius,Aoroides intermedius,Aoridae,Malacostraca,Arthropoda,Animalia,exact_match,Benthic crustaceans
Apostichopus californicus,Apostichopus californicus,Stichopodidae,Holothuroidea,Echinodermata,Animalia,exact_match,Benthic invertebrates
Asterionellopsis glacialis,Asterionellopsis glacialis,Fragilariaceae,Bacillariophyceae,Heterokontophyta,Chromista,exact_match,Primary producers
Attheya longicornis,Attheya longicornis,Attheyaceae,Bacillariophyceae,Heterokontophyta,Chromista,exact_match,Primary producers
Aurelia,Aurelia,Ulmaridae,Scyphozoa,Cnidaria,Animalia,exact_match,Gelatinous zooplankton
Aurelia labiata,Aurelia labiata,Ulmaridae,Scyphozoa,Cnidaria,Animalia,exact_match,Gelatinous zooplankton
Aureococcus anophagefferens,Aureococcus anophagefferens,Pelagomonadaceae,Pelagophyceae,Ochrophyta,Chromista,exact_match,Primary producers
Balanidae,Balanidae,Balanidae,Thecostraca,Arthropoda,Animalia,exact_match,Filter feeders
Balanus,Balanus,Balanidae,Thecostraca,Arthropoda,Animalia,exact_match,Filter feeders
Balanus crenatus,Balanus crenatus,Balanidae,Thecostraca,Arthropoda,Animalia,exact_match,Filter feeders
Balanus glandula,Balanus glandula,Balanidae,Thecostraca,Arthropoda,Animalia,exact_match,Filter feeders
Bangiaceae,Bangiaceae,Bangiaceae,Bangiophyceae,Rhodophyta,Plantae,exact_match,Primary producers
Bathycoccus,Bathycoccus,Bathycoccaceae,Mamiellophyceae,Chlorophyta,Plantae,exact_match,Primary producers
Bathycoccus prasinos,Bathycoccus prasinos,Bathycoccaceae,Mamiellophyceae,Chlorophyta,Plantae,exact_match,Primary producers
Boccardia proboscidea,Boccardia proboscidea,Spionidae,Polychaeta,Annelida,Animalia,exact_match,Benthic invertebrates
Bolinopsis microptera,Bolinopsis microptera,Bolinopsidae,Tentaculata,Ctenophora,Animalia,exact_match,Gelatinous zooplankton
Boltenia,Boltenia,Pyuridae,Ascidiacea,Chordata,Animalia,exact_match,Filter feeders
Boltenia villosa,Boltenia villosa,Pyuridae,Ascidiacea,Chordata,Animalia,exact_match,Filter feeders
Bomolochus cuneatus,Bomolochus cuneatus,Bomolochidae,Copepoda,Arthropoda,Animalia,exact_match,Planktivores
Bougainvillia,Bougainvillia,Bougainvilliidae,Hydrozoa,Cnidaria,Animalia,exact_match,Gelatinous zooplankton
Bougainvillia muscus,Bougainvillia muscus,Bougainvilliidae,Hydrozoa,Cnidaria,Animalia,exact_match,Gelatinous zooplankton
Calanoida,Calanoida,NA,Copepoda,Arthropoda,Animalia,exact_match,Planktivores
Calanus pacificus,Calanus pacificus,Calanidae,Copepoda,Arthropoda,Animalia,exact_match,Planktivores
Callophyllis edentata,Callophyllis edentata,Kallymeniaceae,Florideophyceae,Rhodophyta,Plantae,exact_match,Primary producers
Calycella syringa,Calycella syringa,Campanulinidae,Hydrozoa,Cnidaria,Animalia,exact_match,Gelatinous zooplankton
