Species,TrophicLevel
Acartia longiremis,Planktivores
Acrochaetium moniliforme,Primary producers
Acrochaetium plumosum,Primary producers
Aequorea,Gelatinous zooplankton
Aglaophenia latirostris,Gelatinous zooplankton
Alcyonidium,Filter feeders
Alitta,Benthic invertebrates
Amathia gracilis,Filter feeders
Amonardia perturbata,Planktivores
Amphinema dinema,Gelatinous zooplankton
Ansanella granifera,Primary producers
Aoroides,Benthic crustaceans
Aoroides intermedius,Benthic crustaceans
Apostichopus californicus,Benthic invertebrates
Asterionellopsis glacialis,Primary producers
Attheya longicornis,Primary producers
Aurelia,Gelatinous zooplankton
Aurelia labiata,Gelatinous zooplankton
Aureococcus anophagefferens,Primary producers
Balanidae,Filter feeders
Balanus,Filter feeders
Balanus crenatus,Filter feeders
Balanus glandula,Filter feeders
Bangiaceae,Primary producers
Bathycoccus,Primary producers
Bathycoccus prasinos,Primary producers
Boccardia proboscidea,Benthic invertebrates
Bolinopsis microptera,Gelatinous zooplankton
Boltenia,Filter feeders
Boltenia villosa,Filter feeders
Bomolochus cuneatus,Planktivores
Bougainvillia,Gelatinous zooplankton
Bougainvillia muscus,Gelatinous zooplankton
Calanoida,Planktivores
Calanus pacificus,Planktivores
Callophyllis edentata,Primary producers
Calycella syringa,Gelatinous zooplankton
Caulacanthus,Primary producers
Celleporella hyalina,Filter feeders
Chaetoceros,Primary producers
Chaetoceros diadema,Primary producers
Chaetoceros socialis,Primary producers
Chelophyes appendiculata,Gelatinous zooplankton
Chelyosoma productum,Filter feeders
Chlamys,Filter feeders
Chloroparvula pacifica,Primary producers
Chondracanthus,Planktivores
Chone,Benthic invertebrates
Chordariaceae,Primary producers
Cliona californiana,Filter feeders
Clupea pallasii,Forage species
Clytia gregaria,Gelatinous zooplankton
Cocconeiopsis,Primary producers
Compsomyax,Filter feeders
Compsomyax subdiaphana,Filter feeders
Coryne eximia,Gelatinous zooplankton
Coscinodiscus granii,Primary producers
Crisularia pacifica,Filter feeders
Cylindrotheca,Primary producers
Cylindrotheca closterium,Primary producers
Cymbomonas,Primary producers
Cymbomonas tetramitiformis,Primary producers
Dictyocha speculum,Primary producers
Dinophysis,Primary producers
Dinophysis norvegica,Primary producers
Diopatra,Benthic invertebrates
Diosaccus spinatus,Planktivores
Ditylum brightwellii,Primary producers
Dorvilleidae,Benthic invertebrates
Dumontiaceae,Primary producers
Durinskia baltica,Primary producers
Epilabidocera amphitrites,Planktivores
Eucampia,Primary producers
Eucampia zodiacus,Primary producers
Eumida,Benthic invertebrates
Eumida longicornuta,Benthic invertebrates
Eupentacta pseudoquinquesemita,Benthic invertebrates
Florenciella,Mesopredators
Fucus,Primary producers
Glycera americana,Benthic invertebrates
Glycera robusta,Benthic invertebrates
Glyceridae,Benthic invertebrates
Glycinde,Benthic invertebrates
Gonyaulax,Primary producers
Gracilariopsis,Primary producers
Grammonema,Primary producers
Guinardia,Primary producers
Guinardia delicatula,Primary producers
Halichondria panicea,Filter feeders
Haminoea,Benthic invertebrates
Harpacticus,Planktivores
Haslea,Primary producers
Hataia parva,Gelatinous zooplankton
Hecatonema,Primary producers
Hemiaulus,Primary producers
Heterocapsa,Primary producers
Heterocapsa rotundata,Primary producers
Heterocapsa triquetra,Primary producers
Heterosigma akashiwo,Primary producers
Humilaria kennerleyi,Filter feeders
Hypomesus pretiosus,Forage species
Ischyrocerus,Benthic crustaceans
Jassa staudei,Benthic crustaceans
Karlodinium veneficum,Primary producers
Kirchenpaueria pinnata,Gelatinous zooplankton
Lacuna vincta,Benthic invertebrates
Lafoea,Gelatinous zooplankton
Laminariaceae,Primary producers
Laonice,Benthic invertebrates
Leodice valens,Benthic invertebrates
Leptocottus armatus,Mesopredators
Leptothecata,Gelatinous zooplankton
Leucocryptos marina,Primary producers
Littorina,Benthic invertebrates
Lumbrineridae,Benthic invertebrates
Macoma nasuta,Filter feeders
Maculaura alaskensis,Benthic invertebrates
Margarites pupillus,Benthic invertebrates
Mazzaella splendens,Primary producers
Melosira nummuloides,Primary producers
Membranipora,Filter feeders
Membranipora membranacea,Filter feeders
Metridium,Benthic invertebrates
Micromonas,Primary producers
Micromonas pusilla,Primary producers
Micropodarke dubia,Benthic invertebrates
Minutocellus,Primary producers
Minutocellus polymorphus,Primary producers
Mitrocoma cellularia,Gelatinous zooplankton
Mitrocomella,Gelatinous zooplankton
Modiolus modiolus,Filter feeders
Myrionema balticum,Primary producers
Mytilus,Filter feeders
Navicula,Primary producers
Neoamphitrite,Benthic invertebrates
Neoporphyra,Primary producers
Neoporphyra haitanensis,Primary producers
Neosabellaria cementarium,Benthic invertebrates
Nereis vexillosa,Benthic invertebrates
Nitzschia,Primary producers
Noelaerhabdaceae,Primary producers
Nudibranchia,Benthic invertebrates
Nusuttodinium,Primary producers
Nutricola,Filter feeders
Nuttallia,Filter feeders
Nuttallia obscurata,Filter feeders
Obelia,Gelatinous zooplankton
Obelia dichotoma,Gelatinous zooplankton
Oithona,Planktivores
Oligocottus maculosus,Mesopredators
Olpidiopsis,Pathogens
Oncorhynchus gorbuscha,Apex predators
Oncorhynchus keta,Apex predators
Oncorhynchus nerka,Apex predators
Ophiopholis,Benthic invertebrates
Orthopyxis,Gelatinous zooplankton
Orthopyxis integra,Gelatinous zooplankton
Paleanotus bellis,Benthic invertebrates
Paracalanus,Planktivores
Paralia sulcata,Primary producers
Paramoeba,Parasites
Parvamoeba rugata,Parasites
Pectinaria californiensis,Benthic invertebrates
Percursaria,Primary producers
Perophora,Filter feeders
Petalonia fascia,Primary producers
Phacellophora camtschatica,Gelatinous zooplankton
Phaeocystis,Primary producers
Phalacroma rotundatum,Primary producers
Phoca vitulina,Apex predators
Pholoides asperus,Benthic invertebrates
Phyllodocida,Benthic invertebrates
Platynereis,Benthic invertebrates
Platynereis bicanaliculata,Benthic invertebrates
Pleurobrachia bachei,Gelatinous zooplankton
Pleuronichthys coenosus,Mesopredators
Pleurosigma,Primary producers
Plumularia lagenifera,Gelatinous zooplankton
Podosira stelligera,Primary producers
Polyneura latissima,Primary producers
Polynoidae,Benthic invertebrates
Polysiphonia hendryi,Primary producers
Prionospio multibranchiata,Benthic invertebrates
Proboscidactyla flavicirrata,Gelatinous zooplankton
Prorocentrum,Primary producers
Pseudocalanus,Planktivores
Pseudocalanus moultoni,Planktivores
Pseudocalanus newmani,Planktivores
Pseudochattonella verruculosa,Primary producers
Pseudopolydora bassarginensis,Benthic invertebrates
Pseudopolydora paucibranchiata,Benthic invertebrates
Punctaria occidentalis,Primary producers
Pylaiella,Primary producers
Pylaiella washingtoniensis,Primary producers
Pythium,Pathogens
Ralfsiales,Primary producers
Rathkea octopunctata,Gelatinous zooplankton
Rhizosolenia setigera,Primary producers
Sabellariidae,Benthic invertebrates
Saprolegnia,Pathogens
Sarcodiotheca gaudichaudii,Primary producers
Saxidomus,Filter feeders
Saxidomus gigantea,Filter feeders
Schizobranchia insignis,Benthic invertebrates
Schizoporella japonica,Filter feeders
Schizymenia pacifica,Primary producers
Semele rubropicta,Filter feeders
Semibalanus cariosus,Filter feeders
Skeletonema,Primary producers
Smithora naiadum,Primary producers
Stephanopyxis,Primary producers
Stephanopyxis turris,Primary producers
Stomotoca atra,Gelatinous zooplankton
Strongylocentrotus,Benthic invertebrates
Styela gibbsii,Filter feeders
Syllidae,Benthic invertebrates
Synchaeta,Planktivores
Teleaulax,Primary producers
Teleaulax amphioxeia,Primary producers
Thalassionema nitzschioides,Primary producers
Thalassiosira,Primary producers
Thalassiosira nordenskioeldii,Primary producers
Thalassiosirales,Primary producers
Thelepus,Benthic invertebrates
Tiaropsis multicirrata,Gelatinous zooplankton
Triparma,Primary producers
Turritopsis,Gelatinous zooplankton
Vicicitus,Primary producers
Xiphister mucosus,Mesopredators
