OriginalName,CleanedName,Family,Class,Phylum,Kingdom,LookupStatus,TrophicLevel
Agonopsis vulsa,Agonopsis vulsa,Agonidae,Teleostei,Chordata,Animalia,exact_match,Mesopredators
Alopochen aegyptiaca,Alopochen aegyptiaca,Anatidae,Aves,Chordata,Animalia,exact_match,Unknown
Ammodytes personatus,Ammodytes personatus,Ammodytidae,Teleostei,Chordata,Animalia,exact_match,Forage species
Anarrhichthys ocellatus,Anarrhichthys ocellatus,Anarhichadidae,Teleostei,Chordata,Animalia,exact_match,Mesopredators
Anoplagonus inermis,Anoplagonus inermis,Agonidae,Teleostei,Chordata,Animalia,exact_match,Mesopredators
Anoplarchus,Anoplarchus,Stichaeidae,Teleostei,Chordata,Animalia,exact_match,Mesopredators
Apodichthys flavidus,Apodichthys flavidus,Pholidae,Teleostei,Chordata,Animalia,exact_match,Mesopredators
Ardea herodias,Ardea herodias,Ardeidae,Aves,Chordata,Animalia,exact_match,Unknown
Artedius fenestralis,Artedius fenestralis,Cottidae,Teleostei,Chordata,Animalia,exact_match,Mesopredators
Artedius harringtoni,Artedius harringtoni,Cottidae,Teleostei,Chordata,Animalia,exact_match,Mesopredators
Artedius lateralis,Artedius lateralis,Cottidae,Teleostei,Chordata,Animalia,exact_match,Mesopredators
Ascelichthys rhodorus,Ascelichthys rhodorus,Cottidae,Teleostei,Chordata,Animalia,exact_match,Mesopredators
Aulorhynchus flavidus,Aulorhynchus flavidus,Aulorhynchidae,Teleostei,Chordata,Animalia,exact_match,Mesopredators
Beringraja binoculata,Beringraja binoculata,Rajidae,Elasmobranchii,Chordata,Animalia,exact_match,Unknown
Blepsias cirrhosus,Blepsias cirrhosus,Hemitripteridae,Teleostei,Chordata,Animalia,exact_match,Mesopredators
Branta canadensis,Branta canadensis,NA,NA,NA,NA,error: (204) No Content - Branta c...,NA
Cepphus columba,Cepphus columba,Alcidae,Aves,Chordata,Animalia,exact_match,Unknown
Citharichthys sordidus,Citharichthys sordidus,Paralichthyidae,Teleostei,Chordata,Animalia,exact_match,Mesopredators
Citharichthys stigmaeus,Citharichthys stigmaeus,Paralichthyidae,Teleostei,Chordata,Animalia,exact_match,Mesopredators
Clupea pallasii,Clupea pallasii,Clupeidae,Teleostei,Chordata,Animalia,exact_match,Forage species
Cottidae,Cottidae,Cottidae,Teleostei,Chordata,Animalia,exact_match,Mesopredators
Cryptacanthodes aleutensis,Cryptacanthodes aleutensis,Cryptacanthodidae,Teleostei,Chordata,Animalia,exact_match,Mesopredators
Cryptacanthodes giganteus,Cryptacanthodes giganteus,Cryptacanthodidae,Teleostei,Chordata,Animalia,exact_match,Mesopredators
Enophrys bison,Enophrys bison,Cottidae,Teleostei,Chordata,Animalia,exact_match,Mesopredators
Eschrichtius robustus,Eschrichtius robustus,Eschrichtiidae,Mammalia,Chordata,Animalia,exact_match,Apex predators
Eumetopias jubatus,Eumetopias jubatus,Otariidae,Mammalia,Chordata,Animalia,exact_match,Apex predators
Gadus,Gadus,Gadidae,Teleostei,Chordata,Animalia,exact_match,Mesopredators
Gadus chalcogrammus,Gadus chalcogrammus,Gadidae,Teleostei,Chordata,Animalia,exact_match,Mesopredators
Gallus,Gallus,Phasianidae,Aves,Chordata,Animalia,exact_match,Mesopredators
Gasterosteus aculeatus,Gasterosteus aculeatus,Gasterosteidae,Teleostei,Chordata,Animalia,exact_match,Mesopredators
Gobiesox maeandricus,Gobiesox maeandricus,Gobiesocidae,Teleostei,Chordata,Animalia,exact_match,Mesopredators
Hemilepidotus hemilepidotus,Hemilepidotus hemilepidotus,Cottidae,Teleostei,Chordata,Animalia,exact_match,Mesopredators
Hexagrammos,Hexagrammos,Hexagrammidae,Teleostei,Chordata,Animalia,exact_match,Mesopredators
Hexagrammos decagrammus,Hexagrammos decagrammus,Hexagrammidae,Teleostei,Chordata,Animalia,exact_match,Mesopredators
Hirundo rustica,Hirundo rustica,NA,NA,NA,NA,error: (204) No Content - Hirundo ...,NA
Hydrolagus colliei,Hydrolagus colliei,Chimaeridae,Holocephali,Chordata,Animalia,exact_match,Unknown
Hypomesus,Hypomesus,Osmeridae,Teleostei,Chordata,Animalia,exact_match,Forage species
