Species,TrophicLevel
Agonopsis vulsa,Mesopredators
Alopochen aegyptiaca,Unknown
Ammodytes personatus,Forage species
Anarrhichthys ocellatus,Mesopredators
Anoplagonus inermis,Mesopredators
Anoplarchus,Mesopredators
Apodichthys flavidus,Mesopredators
Ardea herodias,Unknown
Artedius fenestralis,Mesopredators
Artedius harringtoni,Mesopredators
Artedius lateralis,Mesopredators
Ascelichthys rhodorus,Mesopredators
Aulorhynchus flavidus,Mesopredators
Beringraja binoculata,Unknown
Blepsias cirrhosus,Mesopredators
Cepphus columba,Unknown
Citharichthys sordidus,Mesopredators
Citharichthys stigmaeus,Mesopredators
Clupea pallasii,Forage species
Cottidae,Mesopredators
Cryptacanthodes aleutensis,Mesopredators
Cryptacanthodes giganteus,Mesopredators
Enophrys bison,Mesopredators
Eschrichtius robustus,Apex predators
Eumetopias jubatus,Apex predators
Gadus,Mesopredators
Gadus chalcogrammus,Mesopredators
Gallus,Mesopredators
Gasterosteus aculeatus,Mesopredators
Gobiesox maeandricus,Mesopredators
Hemilepidotus hemilepidotus,Mesopredators
Hexagrammos,Mesopredators
Hexagrammos decagrammus,Mesopredators
Hydrolagus colliei,Unknown
Hypomesus,Forage species
Icelinus borealis,Mesopredators
Larus,Unknown
Larus occidentalis,Unknown
Lepidopsetta,Mesopredators
Leptocottus armatus,Mesopredators
Liparis,Mesopredators
Liparis florae,Mesopredators
Liparis fucensis,Mesopredators
Lontra canadensis,Apex predators
Lumpenus sagitta,Mesopredators
Lycodopsis pacificus,Mesopredators
Microgadus proximus,Mesopredators
Myoxocephalus,Mesopredators
Nautichthys oculofasciatus,Mesopredators
Odontopyxis trispinosa,Mesopredators
Oligocottus,Mesopredators
Oncorhynchus,Apex predators
Oncorhynchus gorbuscha,Apex predators
Oncorhynchus keta,Apex predators
Oncorhynchus kisutch,Apex predators
Oncorhynchus nerka,Apex predators
Oncorhynchus tshawytscha,Apex predators
Ophiodon elongatus,Apex predators
Phoca vitulina,Apex predators
Phocoena phocoena,Apex predators
Pholis laeta,Mesopredators
Pholis ornata,Mesopredators
Phytichthys chirus,Mesopredators
Pleuronectidae,Mesopredators
Pleuronichthys coenosus,Mesopredators
Polypera greeni,Mesopredators
Psychrolutes paradoxus,Mesopredators
Psychrolutidae,Mesopredators
Rhamphocottus richardsonii,Mesopredators
Salmo salar,Apex predators
Scorpaenichthys marmoratus,Mesopredators
Sebastes,Apex predators
Squalus,Unknown
Stichaeidae,Mesopredators
Tarletonbeania crenularis,Mesopredators
Trichodon trichodon,Mesopredators
Xiphister,Mesopredators
