"","OriginalName","CleanedName","Family","Class","Phylum","Kingdom","LookupStatus","TrophicLevel"
"1","Acartia longiremis","Acartia longiremis","Acartiidae","Copepoda","Arthropoda","Animalia","exact_match","Planktivores"
"2","Acrochaetium moniliforme","Acrochaetium moniliforme","Acrochaetiaceae","Florideophyceae","Rhodophyta","Plantae","exact_match","Primary producers"
"3","Acrochaetium plumosum","Acrochaetium plumosum","Acrochaetiaceae","Florideophyceae","Rhodophyta","Plantae","exact_match","Primary producers"
"4","Aequorea","Aequorea","Aequoreidae","Hydrozoa","Cnidaria","Animalia","exact_match","Gelatinous zooplankton"
"5","Aglaophenia latirostris","Aglaophenia latirostris","Aglaopheniidae","Hydrozoa","Cnidaria","Animalia","exact_match","Gelatinous zooplankton"
"6","Alcyonidium","Alcyonidium","Alcyonidiidae","Gymnolaemata","Bryozoa","Animalia","exact_match","Filter feeders"
"7","Alitta","Alitta","Nereididae","Polychaeta","Annelida","Animalia","exact_match","Benthic invertebrates"
"8","Amathia gracilis","Amathia gracilis","Vesiculariidae","Gymnolaemata","Bryozoa","Animalia","exact_match","Filter feeders"
"9","Amonardia perturbata","Amonardia perturbata","Miraciidae","Copepoda","Arthropoda","Animalia","exact_match","Planktivores"
"10","Amphinema dinema","Amphinema dinema","Pandeidae","Hydrozoa","Cnidaria","Animalia","exact_match","Gelatinous zooplankton"
"11","Ansanella granifera","Ansanella granifera","Suessiaceae","Dinophyceae","Myzozoa","Chromista","exact_match","Primary producers"
"12","Aoroides","Aoroides","Aoridae","Malacostraca","Arthropoda","Animalia","exact_match","Benthic crustaceans"
"13","Aoroides intermedius","Aoroides intermedius","Aoridae","Malacostraca","Arthropoda","Animalia","exact_match","Benthic crustaceans"
"14","Apostichopus californicus","Apostichopus californicus","Stichopodidae","Holothuroidea","Echinodermata","Animalia","exact_match","Benthic invertebrates"
"15","Asterionellopsis glacialis","Asterionellopsis glacialis","Fragilariaceae","Bacillariophyceae","Heterokontophyta","Chromista","exact_match","Primary producers"
"16","Attheya longicornis","Attheya longicornis","Attheyaceae","Bacillariophyceae","Heterokontophyta","Chromista","exact_match","Primary producers"
