Species,Day-Night,Light-No_Light(day),Light-No_Light(night)
Benthic invertebrates,,,
Alitta,-0.236,0,0.301
Diopatra,-0.109,-0.022,-0.233
Dorvilleidae,-0.041,0,-0.021
Eumida longicornuta,0.094,-0.042,0.04
Eupentacta pseudoquinquesemita,0.065,0.029,-0.001
Glycera americana,-0.15,-0.006,-0.013
Glycera robusta,-0.111,0.003,-0.144
Glycinde,-0.091,-0.013,0.197
Laonice,-0.085,-0.001,-0.002
Leodice valens,0.24,-0.252,-0.032
Margarites pupillus,0.011,-0.064,-0.017
Metridium,0.057,0.027,-0.005
Micropodarke dubia,0.111,0.102,0.051
Neosabellaria cementarium,-0.016,-0.118,0.001
Nudibranchia,-0.021,-0.021,-0.105
Paleanotus bellis,-0.036,0.005,-0.156
Pectinaria californiensis,0.058,0.091,0.001
Phyllodocida,-0.039,0.005,-0.151
Platynereis,-0.059,0.016,0.291
Platynereis bicanaliculata,-0.017,-0.017,-0.144
Polynoidae,0.031,-0.076,0.006
Prionospio multibranchiata,-0.095,0.032,0.055
Pseudopolydora paucibranchiata,-0.048,-0.001,0.033
Sabellariidae,-0.051,-0.048,-0.149
Schizobranchia insignis,0.021,-0.024,0.032
Strongylocentrotus,0.102,0.128,-0.019
Syllidae,-0.036,0.025,0.004
Filter feeders,,,
Alcyonidium,0.08,0.054,-0.028
Balanidae,0.03,-0.073,-0.028
Balanus,0.038,-0.081,-0.017
Balanus glandula,0.104,-0.103,-0.028
Boltenia,0.035,0.022,0.03
Chlamys,0.046,-0.042,-0.043
Cliona californiana,0.013,-0.062,-0.066
Compsomyax,0.053,-0.114,0.004
Compsomyax subdiaphana,0.121,0.005,-0.002
Crisularia pacifica,0.162,-0.098,-0.035
Halichondria panicea,0.098,0.087,-0.023
Humilaria kennerleyi,0.071,0.011,-0.003
Macoma nasuta,0.063,-0.004,0.09
Membranipora,0.076,-0.078,-0.028
Membranipora membranacea,0.085,-0.047,-0.062
Modiolus modiolus,-0.046,0.006,-0.006
Mytilus,0.035,0.026,-0.024
Nutricola,0.012,0.024,0.031
Nuttallia,0.15,0.161,0.002
Perophora,0.012,-0.038,-0.049
Saxidomus,0.042,-0.055,-0.009
Schizoporella japonica,0.054,-0.136,-0.079
Semibalanus cariosus,-0.016,0.003,-0.08
Forage species,,,
Clupea pallasii,0.176,0.202,-0.119
Hypomesus pretiosus,0.18,0.041,0
Gelatinous zooplankton,,,
Aequorea,0.11,-0.047,-0.006
Aglaophenia latirostris,-0.036,-0.146,-0.106
Amphinema dinema,0.111,-0.095,-0.037
Aurelia,0.064,0.14,-0.111
Aurelia labiata,-0.027,0.006,-0.116
Bolinopsis microptera,0.07,-0.017,-0.037
Bougainvillia,0.079,-0.134,-0.012
Bougainvillia muscus,0.145,-0.147,-0.017
Calycella syringa,0.026,-0.07,-0.001
Chelophyes appendiculata,0.025,-0.069,0.004
Clytia gregaria,0.122,-0.151,-0.058
Coryne eximia,0.099,-0.012,-0.017
Hataia parva,-0.032,-0.003,-0.064
Kirchenpaueria pinnata,0.114,-0.119,-0.009
Lafoea,0.101,-0.077,0.106
Leptothecata,0.183,0.008,-0.052
Mitrocoma cellularia,0.261,0.045,-0.01
Obelia,0.147,-0.01,-0.01
Obelia dichotoma,0.104,-0.102,0
Orthopyxis,0.1,0.098,-0.019
Phacellophora camtschatica,0.081,0.19,0.11
Pleurobrachia bachei,0.061,-0.07,-0.041
Plumularia lagenifera,0.085,-0.107,-0.014
Proboscidactyla flavicirrata,-0.025,-0.027,-0.129
Stomotoca atra,0.057,0.1,0.085
Planktivores,,,
Acartia longiremis,0.023,0.154,-0.164
Amonardia perturbata,0.03,0.062,0.009
Chondracanthus,0.275,-0.034,-0.03
Diosaccus spinatus,-0.035,-0.016,0.012
Oithona,0.006,-0.13,-0.068
Paracalanus,0.048,0.025,0.032
