Sample_name,Label,Hash,nReads
MV1-FHL074_MV1,MV1,41d4cc07b5045c0f2961962f6fa4dd9d85053b32,16
MV1-FHL023_MV1,MV1,b0c577d50ec1484146d6bc0836218c3402d08393,13
MV1-FHL003_MV1,MV1,eb828f40fd1194d1ac72df0481d0c422ee22956f,7
MV1-FHL054_MV1,MV1,892142d9c8a7f3d6d80884eb8f0fb78ede8832ed,17
MV1-FHL010_MV1,MV1,8b58e78aaa2635cae1c8afb772c7d6c8984b48fb,9
MV1-FHL077_MV1,MV1,8ca82ca721c988c7a5eddf5e985fcd906182e621,18
MV1-FHL024_MV1,MV1,b2bc3ac17c306daff4e489b343ba6803919aaf97,17
MV1-FHL013_MV1,MV1,789d0432623e50c9f5fe291e5e246e3ad7093467,19
MV1-FHL041_MV1,MV1,1bd99149d7cdc6fa1020450ef280443d5e4a6abd,188
MV1-FHL016_MV1,MV1,5b9cf59562f4c8b35601f61eb97b90febc4f0e51,28
MV1-FHL089_MV1,MV1,373bc4990cb6dc761f6ec860ef7c3d292bf72bf5,33
MV1-FHL013_MV1,MV1,1d683708e9eec70eb3c38be4a1f92e7b3f1a6632,10
MV1-FHL030_MV1,MV1,0297cde132a56f9e2eeae2dcbc3e84979e0fb3fd,112
MV1-FHL025_MV1,MV1,4d00da65fd3da3543b1330974d3d89e02dc420c3,6
MV1-FHL085_MV1,MV1,3684cddc64a7a3566a5bd0b460470597e6f5f822,7
MV1-FHL085_MV1,MV1,4774915f91c8bbc3e683cb7e3f4b0632733005b0,7
MV1-FHL024_MV1,MV1,0e58962ae631fe48dffce2a9a6b4a78ef9bbc08b,111
MV1-FHL044_MV1,MV1,d07243ae3f6dea37616478c4edeac5e5104c3bab,3
MV1-FHL013_MV1,MV1,2aedb3384879fb7d62f89c3f93ee15848478ec25,13
MV1-FHL077_MV1,MV1,9ffd9386647afc0c4529b2d3c09466aa95d9b012,56
MV1-FHL004_MV1,MV1,efb74f2794d5e007ab658536530dbb3938d0c34f,6
MV1-FHL016_MV1,MV1,312700a83b9cc44fa762e32d25872e49424dd481,9
MV1-FHL045_MV1,MV1,786af5d31a7f8b1120472968437376666810dcdd,6
MV1-FHL025_MV1,MV1,7ca589a87f4f6f030fd117b8186621daf5ddc98f,66
MV1-FHL013_MV1,MV1,c1bf64fb34ba65c830ea75ea51cc1f3e834aebfe,2
MV1-FHL023_MV1,MV1,c1bf64fb34ba65c830ea75ea51cc1f3e834aebfe,3
MV1-FHL022_MV1,MV1,85f912f9edb25e771059d3871ccaf1f1036d58dd,17
MV1-FHL015_MV1,MV1,977c5add23d66920a4eead24c5091496e34b409b,17
MV1-FHL016_MV1,MV1,4fa4283fc0ea791e3d14dd41bfd30c2db8f65ca3,9
MV1-FHL068_MV1,MV1,3cb446b4a252a565843befc828248775637ed3ff,2
MV1-FHL084_MV1,MV1,a99c3da5686c11fc6bc9e4227274b681e760b4bf,28
MV1-FHL092_MV1,MV1,a99c3da5686c11fc6bc9e4227274b681e760b4bf,28
MV1-FHL083_MV1,MV1,a99c3da5686c11fc6bc9e4227274b681e760b4bf,7
MV1-FHL070_MV1,MV1,a99c3da5686c11fc6bc9e4227274b681e760b4bf,3
MV1-FHL077_MV1,MV1,a99c3da5686c11fc6bc9e4227274b681e760b4bf,25
MV1-FHL016_MV1,MV1,909fed40bff94a95f485748c79215974d46ca4f2,53
MV1-FHL009_MV1,MV1,b378423783eb8f7a70b07389f85eb945eef6358f,8
MV1-FHL077_MV1,MV1,495fca6298f38ca4e0efc4d412eda405597a4e66,5
MV1-FHL041_MV1,MV1,ebf8d731c0a6ca49e437d871821c3efd21505af5,14
MV1-FHL016_MV1,MV1,5d4ed497023207579e8e12cbcc3eb04420c96929,5
MV1-FHL077_MV1,MV1,a289abf0aa31b1f602df251136fadfd4bf5c1405,11
MV1-FHL013_MV1,MV1,784cb95f4b7a588a9cb6ce85269c56398a892af0,3
MV1-FHL016_MV1,MV1,e1d2674531179fbbd1dc5f2ea3bd7787304e11dc,7
MV1-FHL013_MV1,MV1,a2e27c4a270d0c00d6656252420ac6655b966653,5
MV1-FHL065_MV1,MV1,de3215c9534006ed83c80012791a9d01673d0a2e,34
MV1-FHL081_MV1,MV1,de3215c9534006ed83c80012791a9d01673d0a2e,5
MV1-FHL044_MV1,MV1,97e70c5c6e2fe09765c23c55f1c6973d57deefb6,53
MV1-FHL016_MV1,MV1,4b5171a1684af9f9ef3699584bf8e5e87f42fca7,29
MV1-FHL013_MV1,MV1,4b5171a1684af9f9ef3699584bf8e5e87f42fca7,30
MV1-FHL010_MV1,MV1,47a17c6f397e0b59fd5e0d50c59710e6e6aafcd7,19
MV1-FHL043_MV1,MV1,75da411bf82d2ccad0e03aff8fe1d2bdc6080f1f,27
MV1-FHL032_MV1,MV1,4114f68f55cf6593fe3678341a002f037253f98e,10
MV1-FHL012_MV1,MV1,82e86bfe9ce4f582487c28348ae7636ee8221ca8,17
MV1-FHL009_MV1,MV1,0f5cd18e7dc30d5112cab7de84101bf70776fb06,29
MV1-FHL003_MV1,MV1,9225b8c0626d0c0ae891df3f199f88e5b774221b,54
MV1-FHL022_MV1,MV1,235fa4251d7c046b78459a23867598e5439afc05,9
MV1-FHL070_MV1,MV1,2337fe4e5d40aee925afbabf995dcf9752e7f3f0,168
MV1-FHL062_MV1,MV1,6d1c133cc7ac62758cc2195a7c8fbffe41421dab,47
MV1-FHL066_MV1,MV1,6d1c133cc7ac62758cc2195a7c8fbffe41421dab,3
MV1-FHL016_MV1,MV1,1bd2c145ce63d37bad32b14c9b341035204eb705,9
MV1-FHL068_MV1,MV1,9bb312634fec76ece53a2610c6f33a3a4aac538a,305
MV1-FHL010_MV1,MV1,9bb312634fec76ece53a2610c6f33a3a4aac538a,81
MV1-FHL066_MV1,MV1,9bb312634fec76ece53a2610c6f33a3a4aac538a,73
MV1-FHL077_MV1,MV1,4be91a93d94a5cf78cdbb19c39e9e2c34be8e5f0,33
MV1-FHL010_MV1,MV1,2958b61a7673ca7718825bcc2d5c5ab7f5b0c818,107
MV1-FHL070_MV1,MV1,bcf1da705fd8a1fc383b4715dc5b547c930b925e,16
MV1-FHL051_MV1,MV1,5ac0421b98b055bc4f6d1027c33dd7724abbad7b,7
MV1-FHL065_MV1,MV1,5ac0421b98b055bc4f6d1027c33dd7724abbad7b,30
MV1-FHL055_MV1,MV1,5ac0421b98b055bc4f6d1027c33dd7724abbad7b,9
MV1-FHL070_MV1,MV1,5ac0421b98b055bc4f6d1027c33dd7724abbad7b,9
MV1-FHL009_MV1,MV1,2d99e2b8a3beb72dc012df8983d7bcf92d17841f,19
MV1-FHL045_MV1,MV1,2ba7a66fe2978f8a025ca33507b423659c2509f4,3
MV1-FHL016_MV1,MV1,f2707991c38ef164eed2943c005109090ff239fa,30
MV1-FHL083_MV1,MV1,25498a9f987f630688c3ddb9ab52f43faf7588e3,43
MV1-FHL047_MV1,MV1,c9adcf9eff6e267f86ee23de808a0723a4e277a9,45
MV1-FHL016_MV1,MV1,c9adcf9eff6e267f86ee23de808a0723a4e277a9,10
MV1-FHL001_MV1,MV1,5f9dc7b26ee58fcf1b45b2f33b176d0f56e519d1,26
MV1-FHL026_MV1,MV1,668dbb59a9e60f2ddfa5a4bdd5efcb7132bef24f,3
MV1-FHL012_MV1,MV1,f6a370306d438ca821e9112628af9ef45616eaf5,33
MV1-FHL018_MV1,MV1,f6a370306d438ca821e9112628af9ef45616eaf5,29
MV1-FHL077_MV1,MV1,04009ebd57459b412003141653cdb40e37e6a87e,2
MV1-FHL077_MV1,MV1,37ee96039a7d68880557c00fb4560d763bab40a6,6
MV1-FHL077_MV1,MV1,da2f90a98ce2654aee805790af923a9dd4772024,4
MV1-FHL015_MV1,MV1,e1fc77931a6b54d7524d8dc1b77d57ebe0332eea,75
MV1-FHL003_MV1,MV1,38864fd9bbd49934ba4c336f4c2e975e7a57597d,50
MV1-FHL010_MV1,MV1,c7ce11156c40337ef79cd4b17b268ec1f024067f,53
MV1-FHL013_MV1,MV1,ea37be352248dad7ffd99529eb7577d87a5c8d1a,61
MV1-FHL016_MV1,MV1,ef7b57cb1b2a4e0f9521c0e554d9a587a3c996bb,6
MV1-FHL016_MV1,MV1,34efab04f961842da701b1f322ac5131221e4106,6
MV1-FHL015_MV1,MV1,5caf728cc7af6dbf2e9c8e14f31e1f1728d3db06,8
MV1-FHL045_MV1,MV1,5a105c5b20e010e541e6da44e52132bb1900931e,29
MV1-FHL015_MV1,MV1,77e8d733dc148c94ebd2e291be7d7c3ca990248d,6
MV1-FHL015_MV1,MV1,026b168df7b404df1e7a45e91b0e253d32b613a2,57
MV1-FHL090_MV1,MV1,e913f5d5c3cd4e3ecde96e07e72b4c601e60abb9,5
MV1-FHL009_MV1,MV1,0178e4581baeb1ef8bc926d0c8a2ef21a2d3e29a,3
MV1-FHL077_MV1,MV1,4a52e6205073bc312f60ba0da33930620a01d2b2,82
MV1-FHL077_MV1,MV1,8deb50f110430014a6689db3557b052e44e7333d,9
MV1-FHL016_MV1,MV1,0dee0c7ef437207dc799c2b96c230145d46dced5,43
MV1-FHL077_MV1,MV1,0dee0c7ef437207dc799c2b96c230145d46dced5,2
MV1-FHL089_MV1,MV1,699befa0cff76e6fb4ec31fe30d34634df1df1e9,13
MV1-FHL051_MV1,MV1,266425ac231a4ada141f28953b0d964ab82d13b3,4
