BestTaxon,Class,MV1-ENC3_MV1,MV1-ENC4A_MV1,MV1-ENC5B_MV1,MV1-ENC6C_MV1,MV1-FHL001_MV1,MV1-FHL002_MV1,MV1-FHL003_MV1,MV1-FHL004_MV1,MV1-FHL005_MV1,MV1-FHL006_MV1,MV1-FHL008_MV1,MV1-FHL009_MV1,MV1-FHL010_MV1,MV1-FHL011_MV1,MV1-FHL012_MV1,MV1-FHL013_MV1,MV1-FHL015_MV1,MV1-FHL016_MV1,MV1-FHL017_MV1,MV1-FHL018_MV1,MV1-FHL019_MV1,MV1-FHL020_MV1,MV1-FHL021_MV1,MV1-FHL022_MV1,MV1-FHL023_MV1,MV1-FHL024_MV1,MV1-FHL025_MV1,MV1-FHL026_MV1,MV1-FHL027_MV1,MV1-FHL029_MV1,MV1-FHL030_MV1,MV1-FHL031_MV1,MV1-FHL032_MV1,MV1-FHL033_MV1,MV1-FHL034_MV1,MV1-FHL036_MV1,MV1-FHL037_MV1,MV1-FHL038_MV1,MV1-FHL039_MV1,MV1-FHL040_MV1,MV1-FHL041_MV1,MV1-FHL042_MV1,MV1-FHL043_MV1,MV1-FHL044_MV1,MV1-FHL045_MV1,MV1-FHL047_MV1,MV1-FHL048_MV1,MV1-FHL049_MV1,MV1-FHL050_MV1,MV1-FHL051_MV1,MV1-FHL052_MV1,MV1-FHL053_MV1,MV1-FHL054_MV1,MV1-FHL055_MV1,MV1-FHL056_MV1,MV1-FHL058_MV1,MV1-FHL059_MV1,MV1-FHL060_MV1,MV1-FHL061_MV1,MV1-FHL062_MV1,MV1-FHL063_MV1,MV1-FHL064_MV1,MV1-FHL065_MV1,MV1-FHL066_MV1,MV1-FHL067_MV1,MV1-FHL068_MV1,MV1-FHL069_MV1,MV1-FHL070_MV1,MV1-FHL071_MV1,MV1-FHL072_MV1,MV1-FHL073_MV1,MV1-FHL074_MV1,MV1-FHL075_MV1,MV1-FHL076_MV1,MV1-FHL077_MV1,MV1-FHL078_MV1,MV1-FHL079_MV1,MV1-FHL080_MV1,MV1-FHL081_MV1,MV1-FHL082_MV1,MV1-FHL083_MV1,MV1-FHL084_MV1,MV1-FHL085_MV1,MV1-FHL086_MV1,MV1-FHL087_MV1,MV1-FHL088_MV1,MV1-FHL089_MV1,MV1-FHL090_MV1,MV1-FHL092_MV1,MV1-FHL093_MV1,MV1-FHL094_MV1,MV1-FHL095_MV1,MV1-FHL096_MV1,MV1-FHL097_MV1,MV1-PCRNa_MV1,MV1-PCRNb_MV1
NA,NA,4323,4354,120,124,2374,19453,45943,12713,28003,26346,677,19810,25277,13633,9167,37139,32089,35030,17812,28221,4391,32551,19964,31862,36153,24567,17910,48721,9988,3219,15249,4083,9778,14340,19652,10012,6306,38,6714,15072,27745,2836,52649,22394,30463,33269,9906,13560,5901,12956,2021,6724,9139,10740,15226,76,15067,18600,11717,31652,16913,20024,20909,7492,1650,16206,3748,35636,384,5806,7461,2962,446,8769,28504,48,66,5217,11390,9602,28551,19078,16973,6765,6571,10210,14673,17415,4908,14828,6851,9269,40,2099,43,1
Homo sapiens,Mammalia,0,2264,47,0,5,211,0,0,114,645,33,223,1370,717,780,292,26,22,24,1160,0,180,0,63,181,14,31,67,0,504,144,0,75,4658,0,1373,379,0,0,113,471,0,168,1017,20,0,319,31,9097,93,0,1023,963,517,343,0,0,0,10,0,852,0,66,354,36,245,60,58,0,99,0,18,4,641,75,0,76,518,502,9376,454,44,64,344,866,400,450,509,2222,262,146,344,7,203,0,0
Ammodytes personatus,Actinopteri,0,0,0,0,90,0,41,90,0,484,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,0,0,0,67,0,21,0,0,0,0,0,0,0,0,198,0,0,0,0,44,0,47,0,0,4,0,0,0,0,0,0,0,62,54,0,26,0,0,290,0,0,46,0,0,0,0,0,257,0,0,0,0,0,0,0,0,0,0,0,309,0,0,0,0,0
Artedius harringtoni,Actinopteri,0,0,0,0,55,0,0,0,2681,362,6,0,0,2707,1583,129,0,136,369,218,0,177,0,0,540,0,79,0,320,0,0,0,0,1778,276,0,240,0,0,0,2593,1146,0,0,0,260,0,330,0,264,199,0,1007,287,584,0,0,0,0,0,0,0,2395,3296,90,1134,1884,903,0,60,0,100,4,0,0,0,58,0,758,270,0,0,231,454,332,433,288,830,244,0,173,865,0,347,0,0
Blepsias cirrhosus,Actinopteri,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,247,0,0,144,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,242,0,0,0,0,0,0,317,0,0,0,311,0,201,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0
Clupea pallasii,Actinopteri,0,0,0,0,8169,24922,13948,10810,41636,22521,1034,4316,23640,41383,31687,10444,18241,9323,44054,17057,8354,27135,0,39349,28946,16931,36892,30057,47562,20439,16355,51608,47543,52857,73377,0,100685,254,8222,19786,38711,5902,18239,14863,3976,26629,57228,63241,0,53639,68187,56921,48950,25168,49563,819,21594,16440,27898,9840,30307,0,72352,67492,21526,55761,60108,41836,0,44136,54516,40637,1498,27316,15850,0,695,7328,22399,12764,7938,10528,17902,76465,29964,55978,77944,72305,19631,12214,51770,34853,365,15000,0,0
Gadus,Actinopteri,0,0,0,0,192,439,690,319,2611,1122,3,32,0,157,0,0,42,175,1222,283,190,283,0,16,369,45,59,68,0,93,0,258,0,0,83,0,1277,0,293,2499,4998,650,0,0,0,105,243,96,0,1066,0,0,16,89,459,0,0,279,0,0,211,0,260,30,179,256,1333,537,0,0,0,52,0,203,0,0,0,0,31,105,469,0,0,248,0,0,0,680,0,0,325,0,0,0,0,0
Gadus chalcogrammus,Actinopteri,0,0,0,0,110,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594,0,0,0,0,0,0,178,0,499,0,0,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1058,0,0,0,67,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gallus,Aves,0,0,0,0,51,1495,485,47,144,660,16,0,0,134,0,0,200,0,256,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,90,141,0,0,587,313,15,0,0,0,0
Hexagrammos decagrammus,Actinopteri,0,0,0,0,21,0,0,0,0,173,0,0,93,0,0,0,0,0,0,0,188,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,0,0,0,0,0,0,0
