Sample_name,Label,Hash,nReads
MFU-FHL076_MFU,MFU,ce7bd0e333a473d0b92798db001ac59ee29cf7c7,6
MFU-FHL085_MFU,MFU,ce7bd0e333a473d0b92798db001ac59ee29cf7c7,18
MFU-FHL023_MFU,MFU,5a8feb6de15bcbc62d2850b578896cf9ae8a138e,13
MFU-FHL004_MFU,MFU,fc747d0c60b8f0022442c464b9d394993165e70d,3
MFU-FHL026_MFU,MFU,36e8c7fa999f69fc4fb439cd8e1f3676255aa185,3
MFU-FHL063_MFU,MFU,faff98ad3c7b2ec0581a236dc9722a39e8be6bac,5
MFU-FHL078_MFU,MFU,515f2f42a83da47e8ef863f25297c93dae91c9d7,69
MFU-PCRNa_MFU-R1.fastq.gz,MFU,2c25f9064ce8b4d6141805d5a52b6328a1ea7c07,50
MFU-FHL066_MFU,MFU,2c25f9064ce8b4d6141805d5a52b6328a1ea7c07,301
MFU-FHL022_MFU,MFU,39d9cb372ff2469de8abfe44b69ed9be85bf433e,19
MFU-FHL026_MFU,MFU,5caa5b9ba9a754b76fa2b25c674eecb26b8273e1,9
MFU-FHL021_MFU,MFU,c224c103afcf7e26120d027dcd458da2abdb3925,20
MFU-FHL062_MFU,MFU,90f25fa1a034288dddb8ebfdb1ff917190557736,7
MFU-FHL008_MFU,MFU,b7cdbc7959da834fed295e5bba1015acdf5be08e,14
MFU-FHL022_MFU,MFU,ea3b376fe6b739e3544e0ccaa13a1a45f045c125,18
MFU-FHL055_MFU,MFU,fff1fe110e7024d7c7932200b7ca58863e9df863,9
MFU-FHL004_MFU,MFU,378c113dd0bdd987baa615bd3b5145214b6aaeec,109
MFU-FHL077_MFU,MFU,9eaa653b76896565095e65e9537416ad115ffbb7,33
MFU-FHL016_MFU,MFU,fed5a0437c12ac61667a2ed10ac94f8e05ab1708,7
MFU-FHL045_MFU,MFU,fed5a0437c12ac61667a2ed10ac94f8e05ab1708,3
MFU-FHL033_MFU,MFU,c4b1aee5104a0a01d8d309af5b7a40d54f55d61f,2
MFU-FHL040_MFU,MFU,765eadc54fdcaec599155239b0b50d0472d7b285,12
MFU-FHL013_MFU,MFU,6dac920d2aaf038c52aaa78e101a91d6bd18fb2f,14
MFU-FHL064_MFU,MFU,adf7cb2f264d8de009483386c112108fe594f51e,19
MFU-FHL064_MFU,MFU,aab3289700ccb9de2d30e675fe1744e643e5bb6a,5
MFU-FHL076_MFU,MFU,7b9c10c2bedd2ca874460a94fa3bbf42d56c2ad8,4
MFU-FHL055_MFU,MFU,176c2c3aaef4114147ff05b79c199a05f2e0af47,2
MFU-FHL022_MFU,MFU,4f92072780eb9baf4530211e511beae989918912,3
MFU-FHL008_MFU,MFU,8055af777f7099daa013e43b1807c5c6e76dbe43,25
MFU-FHL016_MFU,MFU,1e0fb0fc69ed15de391a0d64e16cd829d6f094bc,8
MFU-FHL064_MFU,MFU,65cd7d79d55676cea0d81f6d9007dc9a66b3d483,8
MFU-FHL018_MFU,MFU,74823a55d5f48e476f5bbcea345f1d32804432e0,25
MFU-FHL030_MFU,MFU,0821e5f1f2dafb75fb268ba40521f377fbb6e54f,7
MFU-FHL042_MFU,MFU,c51e39f155facfd3cf19b608119ae485a1b7b389,4
MFU-FHL021_MFU,MFU,371c6ca0332a5668b7c00853fa5dae9fe38bb4d7,3
MFU-FHL010_MFU,MFU,8242230b42a107b064f67d20570054ca4e9a39b7,4
MFU-FHL017_MFU,MFU,8242230b42a107b064f67d20570054ca4e9a39b7,14
MFU-FHL085_MFU,MFU,84de339252a70c06b80d52135c7b7af08edcdd91,39
MFU-ENC_MFU-R1.fastq.gz,MFU,62d69532e95312505b6a0e664f23ccbef5661f8d,16
MFU-FHL015_MFU,MFU,d331ebcc0c0a4d69e51d12e8529efa9963e9bbfd,2
MFU-FHL024_MFU,MFU,4626077cfdaf54fe51c636830e728ccbbe908195,3
MFU-FHL008_MFU,MFU,8895a0f86f854e90ce3f720548c3b905a36419f4,9
MFU-FHL026_MFU,MFU,417e2cf3970970c7dddd435cdabb3602008eecb0,5
MFU-FHL043_MFU,MFU,35f471319d7064be193e20088de79e6911648a31,6
MFU-FHL047_MFU,MFU,f72995b7a1025930f9e0aa481ab114c2dd3f3545,23
MFU-FHL008_MFU,MFU,e5670677aa323ad30f6334d28204a2a36f63282f,18
MFU-FHL043_MFU,MFU,e43ef6982abf3ea6078f8eac56f4bab3ee5056b8,27
MFU-FHL023_MFU,MFU,f2c777d6c0a253589d01f141015ca43bd121460d,16
MFU-ENC_MFU-R1.fastq.gz,MFU,2c51a478a4f2f0fccfe97bb2537310b5c7ea3dba,14
MFU-FHL082_MFU,MFU,2591361116825657dace82944c61bfcf72a3280a,24
MFU-FHL026_MFU,MFU,4de9fdd4efae07ab15621145fa330a7ae48a82dd,3
MFU-FHL022_MFU,MFU,2f0fd8dcf491b2d9b8a2c0f7548f7c5c6dd32143,4
MFU-FHL026_MFU,MFU,2f0fd8dcf491b2d9b8a2c0f7548f7c5c6dd32143,8
MFU-FHL041_MFU,MFU,2f0fd8dcf491b2d9b8a2c0f7548f7c5c6dd32143,3
MFU-FHL008_MFU,MFU,2f0fd8dcf491b2d9b8a2c0f7548f7c5c6dd32143,4
MFU-FHL021_MFU,MFU,cbd95b4bfe71adc3982976547d5c5839f9f70ed2,11
MFU-FHL082_MFU,MFU,46c03777576ef13c09a1e47bf7c750660baf7003,15
MFU-FHL062_MFU,MFU,6658e7ee78ac7461c31430b7803275c303c78806,4
