BestTaxon,Class,MFU-FHL001_MFU,MFU-FHL002_MFU,MFU-FHL003_MFU,MFU-FHL004_MFU,MFU-FHL005_MFU,MFU-FHL006_MFU,MFU-FHL008_MFU,MFU-FHL009_MFU,MFU-FHL010_MFU,MFU-FHL011_MFU,MFU-FHL012_MFU,MFU-FHL013_MFU,MFU-FHL015_MFU,MFU-FHL016_MFU,MFU-FHL017_MFU,MFU-FHL018_MFU,MFU-FHL019_MFU,MFU-FHL020_MFU,MFU-FHL022_MFU,MFU-FHL023_MFU,MFU-FHL024_MFU,MFU-FHL025_MFU,MFU-FHL026_MFU,MFU-FHL027_MFU,MFU-FHL029_MFU,MFU-FHL030_MFU,MFU-FHL031_MFU,MFU-FHL032_MFU,MFU-FHL033_MFU,MFU-FHL034_MFU,MFU-FHL037_MFU,MFU-FHL038_MFU,MFU-FHL039_MFU,MFU-FHL040_MFU,MFU-FHL041_MFU,MFU-FHL042_MFU,MFU-FHL043_MFU,MFU-FHL044_MFU,MFU-FHL045_MFU,MFU-FHL047_MFU,MFU-FHL048_MFU,MFU-FHL049_MFU,MFU-FHL051_MFU,MFU-FHL052_MFU,MFU-FHL053_MFU,MFU-FHL054_MFU,MFU-FHL055_MFU,MFU-FHL056_MFU,MFU-FHL058_MFU,MFU-FHL059_MFU,MFU-FHL060_MFU,MFU-FHL061_MFU,MFU-FHL062_MFU,MFU-FHL063_MFU,MFU-FHL065_MFU,MFU-FHL066_MFU,MFU-FHL067_MFU,MFU-FHL068_MFU,MFU-FHL069_MFU,MFU-FHL070_MFU,MFU-FHL072_MFU,MFU-FHL073_MFU,MFU-FHL074_MFU,MFU-FHL075_MFU,MFU-FHL076_MFU,MFU-FHL077_MFU,MFU-FHL079_MFU,MFU-FHL080_MFU,MFU-FHL081_MFU,MFU-FHL082_MFU,MFU-FHL083_MFU,MFU-FHL084_MFU,MFU-FHL085_MFU,MFU-FHL086_MFU,MFU-FHL087_MFU,MFU-FHL088_MFU,MFU-FHL089_MFU,MFU-FHL092_MFU,MFU-FHL093_MFU
Agonidae,Actinopteri,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agonopsis vulsa,Actinopteri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammodytes,Actinopteri,0,0,0,134,93,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,78,0,0,0,0,0,0,0,0,0,0,63,115,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,1060,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0
Anarrhichthys ocellatus,Actinopteri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anoplagonus inermis,Actinopteri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0
Anoplarchus,Actinopteri,0,0,0,611,0,586,0,0,769,192,153,0,0,305,75,338,205,0,147,81,110,90,79,0,0,0,521,0,872,217,30,889,0,310,118,0,165,591,56,0,395,138,85,243,182,0,228,22,333,233,217,58,241,427,118,0,201,0,40,0,52,224,560,569,93,120,0,0,0,0,38,0,0,0,0,29,225,61,0
Apodichthys flavidus,Actinopteri,163,0,11,0,0,277,979,132,568,1502,1076,475,0,140,722,368,484,0,203,236,328,182,38,150,0,0,731,46,210,113,74,215,102,13,0,0,150,0,52,57,0,224,576,96,592,329,232,13,273,324,166,0,0,0,606,198,836,194,713,79,871,1010,297,0,75,0,11,340,1219,0,0,0,199,1299,196,192,684,434,43
Artedius fenestralis,Actinopteri,0,156,0,0,89,127,0,0,0,0,0,59,0,0,0,0,0,0,142,0,71,0,0,148,0,0,0,0,0,111,631,608,0,0,0,0,0,0,0,0,0,88,248,51,0,167,0,21,436,273,0,0,0,0,0,181,0,0,0,0,52,1227,97,175,503,0,0,0,0,0,0,0,93,244,0,206,535,0,0
Artedius harringtoni,Actinopteri,0,0,0,445,381,128,0,84,9,861,1302,625,0,356,406,0,0,465,128,127,0,358,0,13,0,0,389,0,678,0,262,0,16,66,941,476,0,0,0,0,185,0,232,0,0,0,192,54,331,0,0,0,0,0,881,466,925,884,2221,1889,51,410,600,56,79,117,20,0,201,0,193,0,58,68,266,357,302,357,0
Artedius lateralis,Actinopteri,0,0,0,61,0,0,73,0,0,0,0,0,0,0,410,0,0,0,62,60,287,0,0,0,0,0,0,0,0,0,0,0,0,148,21,0,0,234,0,0,0,0,87,20,0,117,49,0,0,0,0,0,0,0,19,0,0,228,59,0,0,138,455,0,0,0,0,0,169,0,0,0,65,105,0,0,0,55,0
