BestTaxon,Class,LoLe-ENC3-COI_R1.fastq.gz,LoLe-ENC4A-COI_R1.fastq.gz,LoLe-ENC5B-COI_R1.fastq.gz,LoLe-ENC6C-COI_R1.fastq.gz,LoLe-FHL001-COI-N1-NL-1_R1.fastq.gz,LoLe-FHL002-COI-N1-NL-2_R1.fastq.gz,LoLe-FHL003-COI-N1-NL-3_R1.fastq.gz,LoLe-FHL004-COI-N1-WL-1_R1.fastq.gz,LoLe-FHL005-COI-N1-WL-2_R1.fastq.gz,LoLe-FHL006-COI-N1-WL-3_R1.fastq.gz,LoLe-FHL008-COI-D1-NL-1_R1.fastq.gz,LoLe-FHL009-COI-D1-NL-2_R1.fastq.gz,LoLe-FHL010-COI-D1-NL-3_R1.fastq.gz,LoLe-FHL011-COI-D1-WL-1_R1.fastq.gz,LoLe-FHL012-COI-D1-WL-2_R1.fastq.gz,LoLe-FHL013-COI-D1-WL-3_R1.fastq.gz,LoLe-FHL015-COI-N2-NL-1_R1.fastq.gz,LoLe-FHL016-COI-N2-NL-2_R1.fastq.gz,LoLe-FHL017-COI-N2-NL-3_R1.fastq.gz,LoLe-FHL018-COI-N2-WL-1_R1.fastq.gz,LoLe-FHL019-COI-N2-WL-2_R1.fastq.gz,LoLe-FHL020-COI-N2-WL-3_R1.fastq.gz,LoLe-FHL021-COI-N2-FN_R1.fastq.gz,LoLe-FHL022-COI-D2-NL-1_R1.fastq.gz,LoLe-FHL023-COI-D2-NL-2_R1.fastq.gz,LoLe-FHL024-COI-D2-NL-3_R1.fastq.gz,LoLe-FHL025-COI-D2-WL-1_R1.fastq.gz,LoLe-FHL026-COI-D2-WL-2_R1.fastq.gz,LoLe-FHL027-COI-D2-WL-3_R1.fastq.gz,LoLe-FHL029-COI-D3-NL-1_R1.fastq.gz,LoLe-FHL030-COI-D3-NL-2_R1.fastq.gz,LoLe-FHL031-COI-D3-NL-3_R1.fastq.gz,LoLe-FHL032-COI-D3-WL-1_R1.fastq.gz,LoLe-FHL033-COI-D3-WL-2_R1.fastq.gz,LoLe-FHL034-COI-D3-WL-3_R1.fastq.gz,LoLe-FHL036-COI-N3-FN_R1.fastq.gz,LoLe-FHL037-COI-N3-NL-1_R1.fastq.gz,LoLe-FHL038-COI-N3-NL-2_R1.fastq.gz,LoLe-FHL039-COI-N3-NL-3_R1.fastq.gz,LoLe-FHL040-COI-N3-WL-1_R1.fastq.gz,LoLe-FHL041-COI-N3-WL-2_R1.fastq.gz,LoLe-FHL042-COI-N3-WL-3_R1.fastq.gz,LoLe-FHL043-COI-D4-NL-1_R1.fastq.gz,LoLe-FHL044-COI-D4-NL-2_R1.fastq.gz,LoLe-FHL045-COI-D4-NL-3_R1.fastq.gz,LoLe-FHL047-COI-D4-WL-1_R1.fastq.gz,LoLe-FHL048-COI-D4-WL-2_R1.fastq.gz,LoLe-FHL049-COI-D4-WL-3_R1.fastq.gz,LoLe-FHL050-COI-N4-FN_R1.fastq.gz,LoLe-FHL051-COI-N4-NL-1_R1.fastq.gz,LoLe-FHL052-COI-N4-NL-2_R1.fastq.gz,LoLe-FHL053-COI-N4-NL-3_R1.fastq.gz,LoLe-FHL054-COI-N4-WL-1_R1.fastq.gz,LoLe-FHL055-COI-N4-WL-2_R1.fastq.gz,LoLe-FHL056-COI-N4-WL-3_R1.fastq.gz,LoLe-FHL058-COI-D5-NL-1_R1.fastq.gz,LoLe-FHL059-COI-D5-NL-2_R1.fastq.gz,LoLe-FHL060-COI-D5-NL-3_R1.fastq.gz,LoLe-FHL061-COI-D5-WL-1_R1.fastq.gz,LoLe-FHL062-COI-D5-WL-2_R1.fastq.gz,LoLe-FHL063-COI-D5-WL-3_R1.fastq.gz,LoLe-FHL064-COI-N5-FN_R1.fastq.gz,LoLe-FHL065-COI-N5-NL-1_R1.fastq.gz,LoLe-FHL066-COI-N5-NL-2_R1.fastq.gz,LoLe-FHL067-COI-N5-NL-3_R1.fastq.gz,LoLe-FHL068-COI-N5-WL-1_R1.fastq.gz,LoLe-FHL069-COI-N5-WL-2_R1.fastq.gz,LoLe-FHL070-COI-N5-WL-3_R1.fastq.gz,LoLe-FHL071-COI-D6-FN_R1.fastq.gz,LoLe-FHL072-COI-D6-NL-1_R1.fastq.gz,LoLe-FHL073-COI-D6-NL-2_R1.fastq.gz,LoLe-FHL074-COI-D6-NL-3_R1.fastq.gz,LoLe-FHL075-COI-D6-WL-1_R1.fastq.gz,LoLe-FHL076-COI-D6-WL-2_R1.fastq.gz,LoLe-FHL077-COI-D6-WL-3_R1.fastq.gz,LoLe-FHL078-COI-N6-FN_R1.fastq.gz,LoLe-FHL081-COI-N6-NL-3_R1.fastq.gz,LoLe-FHL082-COI-N6-WL-1_R1.fastq.gz,LoLe-FHL083-COI-N6-WL-2_R1.fastq.gz,LoLe-FHL084-COI-N6-WL-3_R1.fastq.gz,LoLe-FHL085-COI-D7-NL-1_R1.fastq.gz,LoLe-FHL086-COI-D7-NL-2_R1.fastq.gz,LoLe-FHL087-COI-D7-NL-3_R1.fastq.gz,LoLe-FHL088-COI-D7-WL-1_R1.fastq.gz,LoLe-FHL089-COI-D7-WL-2_R1.fastq.gz,LoLe-FHL090-COI-D7-WL-3_R1.fastq.gz,LoLe-FHL092-COI-N7-NL-1_R1.fastq.gz,LoLe-FHL093-COI-N7-NL-2_R1.fastq.gz,LoLe-FHL094-COI-N7-NL-3_R1.fastq.gz,LoLe-PCRNa-COI_R1.fastq.gz,LoLe-PCRNb-COI_R1.fastq.gz
Liposcelis decolor,Insecta,887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psocoptera,Insecta,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,2201,7068,8553,4285,67468,62062,70984,86229,39789,68383,67920,54518,90789,74934,83786,88455,67858,96584,65266,110421,77832,37199,16169,68406,79615,94488,70813,100364,109948,87594,104075,74455,101239,93697,98157,41900,103514,100670,94788,38767,78252,85531,92703,81895,129988,79624,111133,113351,9072,51406,18016,124,13147,22793,39222,37214,81750,76619,78988,92677,71294,48793,7,8179,46093,83593,12687,32229,30917,8,35025,48165,77679,60026,67650,14805,1180,31906,72627,70920,73952,9643,45692,68662,655,43737,408,153,1,0,3069
Alitta,Polychaeta,0,782,0,0,424,759,383,126,28385,5,0,0,8,0,14,11,455,949,511,1208,33380,63413,0,10,18,30,24,21,20,45,33,46,92,84,52,0,908,912,467,290,771,1532,19,12,25,32,22,40,0,9314,1387,15,76759,88189,73552,27,62,25,66,26,67,0,0,115,532,6919,477,4878,0,0,62,217,108,46,64,0,0,52,423,64,17,0,18,13,0,18,0,0,0,0,0
Aptinothrips rufus,Insecta,0,993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Homo sapiens,Mammalia,0,1000,0,1168,0,0,0,0,4,5,6,4,0,0,18,12,0,0,0,0,0,3,968,7,0,0,0,0,4,0,0,0,2,29,0,1410,6,0,3,0,0,0,0,20,0,4,0,0,1999,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,140,0,0,0,0,25,0,136,0,49,13,0,4,0,8,0,0,4,0,0,0,260,0
Microstomum bispiralis,Rhabditophora,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pleosporales,Dothideomycetes,0,867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uncultured Pythium,,0,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bathycoccus,Mamiellophyceae,0,0,132,0,0,0,0,4,0,0,0,5,0,0,0,2,0,11,0,0,8,0,0,0,3,2,0,14,0,0,15,0,0,0,0,0,0,4,0,0,0,0,0,10,124,4,7,0,0,0,0,0,0,0,5,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,14,0,0,2,0,0,0,0,0,0,0
Ditylum brightwellii,Mediophyceae,0,0,40,0,561,0,16,190,75,8,251,436,202,36,3,323,193,262,0,60,110,12,0,19,121,62,52,450,188,0,575,36,0,126,153,0,41,184,642,286,339,293,369,365,1070,141,82,18,0,0,0,0,0,20,16,0,19,51,16,369,5,0,0,0,0,4,0,0,0,0,0,0,0,5,58,0,0,0,0,9,67,0,0,17,0,0,0,0,0,0,0
Lachesilla,Insecta,0,0,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micromonas pusilla,Mamiellophyceae,0,0,273,364,1022,673,1535,1528,539,316,1324,1138,1999,1172,1122,1246,2212,2573,717,957,894,504,0,2058,1535,1960,2513,5149,3796,1647,3990,4133,5597,4168,7724,0,6001,5756,6261,1870,5185,4196,5471,4152,7505,3563,5822,6823,0,1574,51,0,219,352,387,675,8490,7361,8272,7022,7586,0,0,125,4128,9004,125,3832,0,0,1085,1833,5782,9391,7528,0,27,3561,22849,24459,13493,272,3610,8405,0,3793,3,0,0,0,0
