BestTaxon,Class,LoLe-FHL001-COI-N1-NL-1_R1.fastq.gz,LoLe-FHL002-COI-N1-NL-2_R1.fastq.gz,LoLe-FHL003-COI-N1-NL-3_R1.fastq.gz,LoLe-FHL004-COI-N1-WL-1_R1.fastq.gz,LoLe-FHL005-COI-N1-WL-2_R1.fastq.gz,LoLe-FHL006-COI-N1-WL-3_R1.fastq.gz,LoLe-FHL008-COI-D1-NL-1_R1.fastq.gz,LoLe-FHL009-COI-D1-NL-2_R1.fastq.gz,LoLe-FHL010-COI-D1-NL-3_R1.fastq.gz,LoLe-FHL011-COI-D1-WL-1_R1.fastq.gz,LoLe-FHL012-COI-D1-WL-2_R1.fastq.gz,LoLe-FHL013-COI-D1-WL-3_R1.fastq.gz,LoLe-FHL015-COI-N2-NL-1_R1.fastq.gz,LoLe-FHL016-COI-N2-NL-2_R1.fastq.gz,LoLe-FHL017-COI-N2-NL-3_R1.fastq.gz,LoLe-FHL018-COI-N2-WL-1_R1.fastq.gz,LoLe-FHL019-COI-N2-WL-2_R1.fastq.gz,LoLe-FHL020-COI-N2-WL-3_R1.fastq.gz,LoLe-FHL022-COI-D2-NL-1_R1.fastq.gz,LoLe-FHL023-COI-D2-NL-2_R1.fastq.gz,LoLe-FHL024-COI-D2-NL-3_R1.fastq.gz,LoLe-FHL025-COI-D2-WL-1_R1.fastq.gz,LoLe-FHL026-COI-D2-WL-2_R1.fastq.gz,LoLe-FHL027-COI-D2-WL-3_R1.fastq.gz,LoLe-FHL029-COI-D3-NL-1_R1.fastq.gz,LoLe-FHL030-COI-D3-NL-2_R1.fastq.gz,LoLe-FHL031-COI-D3-NL-3_R1.fastq.gz,LoLe-FHL032-COI-D3-WL-1_R1.fastq.gz,LoLe-FHL033-COI-D3-WL-2_R1.fastq.gz,LoLe-FHL034-COI-D3-WL-3_R1.fastq.gz,LoLe-FHL037-COI-N3-NL-1_R1.fastq.gz,LoLe-FHL038-COI-N3-NL-2_R1.fastq.gz,LoLe-FHL039-COI-N3-NL-3_R1.fastq.gz,LoLe-FHL040-COI-N3-WL-1_R1.fastq.gz,LoLe-FHL041-COI-N3-WL-2_R1.fastq.gz,LoLe-FHL042-COI-N3-WL-3_R1.fastq.gz,LoLe-FHL043-COI-D4-NL-1_R1.fastq.gz,LoLe-FHL044-COI-D4-NL-2_R1.fastq.gz,LoLe-FHL045-COI-D4-NL-3_R1.fastq.gz,LoLe-FHL047-COI-D4-WL-1_R1.fastq.gz,LoLe-FHL048-COI-D4-WL-2_R1.fastq.gz,LoLe-FHL049-COI-D4-WL-3_R1.fastq.gz,LoLe-FHL051-COI-N4-NL-1_R1.fastq.gz,LoLe-FHL052-COI-N4-NL-2_R1.fastq.gz,LoLe-FHL053-COI-N4-NL-3_R1.fastq.gz,LoLe-FHL054-COI-N4-WL-1_R1.fastq.gz,LoLe-FHL055-COI-N4-WL-2_R1.fastq.gz,LoLe-FHL056-COI-N4-WL-3_R1.fastq.gz,LoLe-FHL058-COI-D5-NL-1_R1.fastq.gz,LoLe-FHL059-COI-D5-NL-2_R1.fastq.gz,LoLe-FHL060-COI-D5-NL-3_R1.fastq.gz,LoLe-FHL061-COI-D5-WL-1_R1.fastq.gz,LoLe-FHL062-COI-D5-WL-2_R1.fastq.gz,LoLe-FHL063-COI-D5-WL-3_R1.fastq.gz,LoLe-FHL065-COI-N5-NL-1_R1.fastq.gz,LoLe-FHL066-COI-N5-NL-2_R1.fastq.gz,LoLe-FHL067-COI-N5-NL-3_R1.fastq.gz,LoLe-FHL068-COI-N5-WL-1_R1.fastq.gz,LoLe-FHL069-COI-N5-WL-2_R1.fastq.gz,LoLe-FHL070-COI-N5-WL-3_R1.fastq.gz,LoLe-FHL072-COI-D6-NL-1_R1.fastq.gz,LoLe-FHL073-COI-D6-NL-2_R1.fastq.gz,LoLe-FHL074-COI-D6-NL-3_R1.fastq.gz,LoLe-FHL075-COI-D6-WL-1_R1.fastq.gz,LoLe-FHL076-COI-D6-WL-2_R1.fastq.gz,LoLe-FHL077-COI-D6-WL-3_R1.fastq.gz,LoLe-FHL081-COI-N6-NL-3_R1.fastq.gz,LoLe-FHL082-COI-N6-WL-1_R1.fastq.gz,LoLe-FHL083-COI-N6-WL-2_R1.fastq.gz,LoLe-FHL084-COI-N6-WL-3_R1.fastq.gz,LoLe-FHL085-COI-D7-NL-1_R1.fastq.gz,LoLe-FHL086-COI-D7-NL-2_R1.fastq.gz,LoLe-FHL087-COI-D7-NL-3_R1.fastq.gz,LoLe-FHL088-COI-D7-WL-1_R1.fastq.gz,LoLe-FHL089-COI-D7-WL-2_R1.fastq.gz,LoLe-FHL090-COI-D7-WL-3_R1.fastq.gz,LoLe-FHL092-COI-N7-NL-1_R1.fastq.gz,LoLe-FHL093-COI-N7-NL-2_R1.fastq.gz,LoLe-FHL094-COI-N7-NL-3_R1.fastq.gz
Acartia,Hexanauplia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acartia hudsonica,Hexanauplia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,28,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acartia longiremis,Hexanauplia,1334,1867,2259,774,180,203,642,863,877,123,383,1413,656,1989,1190,1906,2907,1318,624,310,1199,1749,300,4522,1208,640,2968,5897,2739,1602,4933,3047,1627,2058,7713,248,818,225,1626,3482,4902,6402,886,17,0,443,2288,2974,6,579,4138,777,146,179,0,67,4246,2569,16,1176,0,205,198,1218,1078,2226,10,619,2578,11057,21,50,420,738,0,333,0,2,0
Acrochaetium,Florideophyceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acrochaetium alariae,Florideophyceae,2,0,5,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acrochaetium moniliforme,Florideophyceae,0,0,0,0,0,0,15,12,6,19,18,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acrochaetium plumosum,Florideophyceae,0,0,0,2,0,0,11,5,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acrochaetium secundatum,Florideophyceae,0,5,6,0,0,0,4,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adula californiensis,Bivalvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aeolidia,Gastropoda,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aequorea,Hydrozoa,4,0,2,0,0,0,4,0,0,6,7,22,0,0,0,0,0,0,26,9,27,15,12,20,0,9,110,0,3,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,7,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
Aglaophenia latirostris,Hydrozoa,12,0,0,3,0,0,4,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,9,3,0,13,9,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agonidae,Actinopteri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
