"Day_v_night","Light_v_Nolight","light_day","light_night","Date_difference","Biological_replciate","n"
0,0,0,0,0,1,56
0,0,0,0,1,0,124
0,0,0,0,2,0,106
0,0,0,0,3,0,90
0,0,0,0,4,0,54
0,0,0,0,5,0,37
0,0,0,0,6,0,18
0,1,0,1,0,0,29
0,1,0,1,1,0,35
0,1,0,1,2,0,30
0,1,0,1,3,0,36
0,1,0,1,4,0,20
0,1,0,1,5,0,17
0,1,0,1,6,0,9
0,1,1,0,0,0,46
0,1,1,0,1,0,81
0,1,1,0,2,0,70
0,1,1,0,3,0,54
0,1,1,0,4,0,36
0,1,1,0,5,0,21
0,1,1,0,6,0,12
1,0,0,0,0,0,65
1,0,0,0,1,0,122
1,0,0,0,2,0,111
1,0,0,0,3,0,80
1,0,0,0,4,0,60
1,0,0,0,5,0,30
1,0,0,0,6,0,18
1,0,0,0,7,0,10
