"Species","TrophicLevel","Day-Night","Light-No_Light(day)","Light-No_Light(night)"
"Alitta","Benthic invertebrates",-0.236,0,0.301
"Diopatra","Benthic invertebrates",-0.109,-0.022,-0.233
"Dorvilleidae","Benthic invertebrates",-0.041,0,-0.021
"Eumida longicornuta","Benthic invertebrates",0.094,-0.042,0.04
"Eupentacta pseudoquinquesemita","Benthic invertebrates",0.065,0.029,-0.001
"Glycera americana","Benthic invertebrates",-0.15,-0.006,-0.013
"Glycera robusta","Benthic invertebrates",-0.111,0.003,-0.144
"Glycinde","Benthic invertebrates",-0.091,-0.013,0.197
"Laonice","Benthic invertebrates",-0.085,-0.001,-0.002
"Leodice valens","Benthic invertebrates",0.24,-0.252,-0.032
"Margarites pupillus","Benthic invertebrates",0.011,-0.064,-0.017
"Metridium","Benthic invertebrates",0.057,0.027,-0.005
"Micropodarke dubia","Benthic invertebrates",0.111,0.102,0.051
"Neosabellaria cementarium","Benthic invertebrates",-0.016,-0.118,0.001
"Nudibranchia","Benthic invertebrates",-0.021,-0.021,-0.105
"Paleanotus bellis","Benthic invertebrates",-0.036,0.005,-0.156
"Pectinaria californiensis","Benthic invertebrates",0.058,0.091,0.001
"Phyllodocida","Benthic invertebrates",-0.039,0.005,-0.151
"Platynereis","Benthic invertebrates",-0.059,0.016,0.291
"Platynereis bicanaliculata","Benthic invertebrates",-0.017,-0.017,-0.144
"Polynoidae","Benthic invertebrates",0.031,-0.076,0.006
"Prionospio multibranchiata","Benthic invertebrates",-0.095,0.032,0.055
"Pseudopolydora paucibranchiata","Benthic invertebrates",-0.048,-0.001,0.033
"Sabellariidae","Benthic invertebrates",-0.051,-0.048,-0.149
"Schizobranchia insignis","Benthic invertebrates",0.021,-0.024,0.032
"Strongylocentrotus","Benthic invertebrates",0.102,0.128,-0.019
"Syllidae","Benthic invertebrates",-0.036,0.025,0.004
"Alcyonidium","Filter feeders",0.08,0.054,-0.028
"Balanidae","Filter feeders",0.03,-0.073,-0.028
"Balanus","Filter feeders",0.038,-0.081,-0.017
"Balanus glandula","Filter feeders",0.104,-0.103,-0.028
"Boltenia","Filter feeders",0.035,0.022,0.03
"Chlamys","Filter feeders",0.046,-0.042,-0.043
"Cliona californiana","Filter feeders",0.013,-0.062,-0.066
"Compsomyax","Filter feeders",0.053,-0.114,0.004
"Compsomyax subdiaphana","Filter feeders",0.121,0.005,-0.002
"Crisularia pacifica","Filter feeders",0.162,-0.098,-0.035
"Halichondria panicea","Filter feeders",0.098,0.087,-0.023
"Humilaria kennerleyi","Filter feeders",0.071,0.011,-0.003
"Macoma nasuta","Filter feeders",0.063,-0.004,0.09
"Membranipora","Filter feeders",0.076,-0.078,-0.028
"Membranipora membranacea","Filter feeders",0.085,-0.047,-0.062
"Modiolus modiolus","Filter feeders",-0.046,0.006,-0.006
"Mytilus","Filter feeders",0.035,0.026,-0.024
"Nutricola","Filter feeders",0.012,0.024,0.031
"Nuttallia","Filter feeders",0.15,0.161,0.002
"Perophora","Filter feeders",0.012,-0.038,-0.049
"Saxidomus","Filter feeders",0.042,-0.055,-0.009
"Schizoporella japonica","Filter feeders",0.054,-0.136,-0.079
"Semibalanus cariosus","Filter feeders",-0.016,0.003,-0.08
"Clupea pallasii","Forage species",0.176,0.202,-0.119
"Hypomesus pretiosus","Forage species",0.18,0.041,0
"Aequorea","Gelatinous zooplankton",0.11,-0.047,-0.006
"Aglaophenia latirostris","Gelatinous zooplankton",-0.036,-0.146,-0.106
"Amphinema dinema","Gelatinous zooplankton",0.111,-0.095,-0.037
"Aurelia","Gelatinous zooplankton",0.064,0.14,-0.111
"Aurelia labiata","Gelatinous zooplankton",-0.027,0.006,-0.116
